시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
강릉역,강원도,강릉시,42150,강원도 강릉시 용지로 176,강원도 강릉시 교동 118,37.76453037,128.8996632,강릉역,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
경포동주민센터,강원도,강릉시,42150,강원도 강릉시 운정길 16,강원도 강릉시 난곡동 88-3,37.78379311,128.8806161,경포동주민센터,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
봉화읍사무소,경상북도,봉화군,47920,경상북도 봉화군 봉화읍 내성로3길 9,경상북도 봉화군 봉화읍 내성리 197-1,36.8876491,128.7393289,사무실 밖 왼쪽 출입구 앞,9:00,18:00,9:00,22:00,9:00,22:00,2,N,Y,경상북도 봉화군,054-679-6073,2020-10-12,5240000,경상북도 봉화군
춘양면사무소,경상북도,봉화군,47920,경상북도 봉화군 춘양면 의양로5길 19,경상북도 봉화군 춘양면 의양리 409-10,36.93512885,128.9148815,사무실 안 정문 오른쪽,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,경상북도 봉화군,054-679-6073,2020-10-12,5240000,경상북도 봉화군
중앙공원,경기도,성남시,41135,경기도 성남시 분당구 성남대로 550 (수내동),경기도 성남시 분당구 수내동 65,37.38030721,127.1211791,중앙공원 관리사무소현관 앞,9:00,18:00,9:00,18:00,9:00,18:00,1,N,N,중앙공원,031-729-4907,2020-06-30,3780000,경기도 성남시
율동공원,경기도,성남시,41135,경기도 성남시 분당구 문정로 145 (율동),경기도 성남시 분당구 율동 318,37.38335566,127.1500042,율동공원 관리사무실 내,9:00,18:00,9:00,18:00,9:00,18:00,1,N,N,율동공원,031-702-8713,2020-06-30,3780000,경기도 성남시
성남아트센터,경기도,성남시,41135,경기도 성남시 분당구 성남대로 808(야탑동),경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,성남아트센터 1층 아이프라자,9:00,18:00,9:00,18:00,9:00,18:00,1,N,N,성남아트센터,070-4236-4587,2020-06-30,3780000,경기도 성남시
정자2동 주민센터,경기도,성남시,41135,경기도 성남시 분당구 내정로 66(정자동),경기도 성남시 분당구 정자동 118,37.36600484,127.115252,정자2동 주민센터(민원실 입구),9:00,18:00,0:00,0:00,0:00,0:00,1,N,N,정자2동 주민센터,070-4236-4587,2020-06-30,3780000,경기도 성남시
금곡동주민센터,경기도,성남시,41135,경기도 성남시 분당구 성남대로171번길 14(금곡동),경기도 성남시 분당구 금곡동 174,37.35163573,127.107075,금곡동주민센터(정문 우측),9:00,18:00,0:00,0:00,0:00,0:00,1,N,N,금곡동주민센터,070-4236-4587,2020-06-30,3780000,경기도 성남시
야탑역,경기도,성남시,41135,경기도 성남시 분당구 성남대로 903 (야탑동),경기도 성남시 분당구 야탑동 488-1,37.41105289,127.1287289,야탑역(모란방면),6:00,23:00,6:00,23:00,6:00,23:00,1,N,N,야탑역,070-4236-4587,2020-06-30,3780000,경기도 성남시
분당서현청소년수련관,경기도,성남시,41135,경기도 성남시 분당구 불정로386번길 38(서현동),경기도 성남시 분당구 서현동 312-5,37.3721504,127.139872,분당서현청소년수련관(주차장입구 안쪽),6:00,22:00,6:00,20:00,9:00,18:00,1,N,N,분당서현청소년수련관,031-729-9400,2020-06-30,3780000,경기도 성남시
분당정자청소년수련관,경기도,성남시,41135,경기도 성남시 분당구 성남대로407번길 12(정자동),경기도 성남시 분당구 정자동 6-1,37.372751,127.106311,분당정자청소년수련관(1층 정문 안쪽),6:00,22:00,6:00,20:00,9:00,18:00,1,N,N,분당정자청소년수련관,031-729-9500,2020-06-30,3780000,경기도 성남시
분당판교청소년수련관,경기도,성남시,41135,경기도 성남시 분당구 운중로 225번길 37(판교동),경기도 성남시 분당구 판교동 553,37.391874,127.090854,분당판교청소년수련관(1층 로비),6:00,22:00,6:00,20:00,9:00,18:00,1,N,N,분당판교청소년수련관,031-729-9600,2020-06-30,3780000,경기도 성남시
청솔종합사회복지관,경기도,성남시,41135,경기도 성남시 분당구 미금로 246(금곡동),경기도 성남시 분당구 금곡동 126,37.35462448,127.1099997,청솔종합사회복지관(1층엘리베이터 앞),9:00,18:00,9:00,14:00,0:00,0:00,1,N,N,청솔종합사회복지관,070-4236-4587,2020-06-30,3780000,경기도 성남시
미금역,경기도,성남시,41135,경기도 성남시 분당구 성남대로 156,경기도 성남시 분당구 금곡동 222,37.35009509,127.1089322,미금역,6:00,23:00,6:00,23:00,6:00,23:00,1,N,N,미금역,070-4236-4587,2020-06-30,3780000,경기도 성남시
판교역,경기도,성남시,41135,경기도 성남시 분당구 판교역로 160,경기도 성남시 분당구 백현동 19-2,37.394776,127.1109483,판교역,6:00,23:00,6:00,23:00,6:00,23:00,1,N,N,판교역,070-4236-4587,2020-06-30,3780000,경기도 성남시
이매역,경기도,성남시,41135,경기도 성남시 분당구 성남대로 738,경기도 성남시 분당구 이매동 129-1,37.39568562,127.128231,이매역,6:00,23:00,6:00,23:00,6:00,23:00,1,N,N,이매역,070-4236-4587,2020-06-30,3780000,경기도 성남시
산성동복지회관,경기도,성남시,41131,경기도 성남시 수정구 수정남로 269,경기도 성남시 수정구 산성동 2115,37.45300746,127.150367,산성동복지회관,9:00,18:00,9:00,14:00,0:00,0:00,1,N,N,산성동복지회관,070-4236-4587,2020-06-30,3780000,경기도 성남시
산성동행정복지센터,경기도,성남시,41131,경기도 성남시 수정구 수정남로 261,경기도 성남시 수정구 산성동 2136,37.45221136,127.150067,산성동행정복지센터,9:00,18:00,0:00,0:00,0:00,0:00,1,N,N,산성동행정복지센터,070-4236-4587,2020-06-30,3780000,경기도 성남시
산성종합사회복지과,경기도,성남시,41131,경기도 성남시 수정구 수정남로 306번길 15-16,경기도 성남시 수정구 산성동 563,37.45570611,127.153769,산성종합사회복지관,9:00,18:00,0:00,0:00,0:00,0:00,1,N,N,산성종합사회복지과,070-4236-4587,2020-06-30,3780000,경기도 성남시
남구청,대구광역시,남구,27200,대구광역시 남구 이천로 51,,35.84552704,128.5978365,1층 로비,9:00,18:00,0:00,0:00,0:00,0:00,0,Y,Y,남구청,053-664-3204,2019-06-28,6270000,대구광역시
서구문화회관,대구광역시,서구,27170,대구광역시 서구 당산로 403(이현동),,35.87279161,128.5455426,지하1층 문화원 앞,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,서구문화회관,053-663-3094,2019-06-28,6270000,대구광역시
상중이동행정복지센터,대구광역시,서구,27170,대구광역시 서구 당산로 343(중리동),,35.86697716,128.5461136,1층 민원실,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,상중이동행정복지센터,053-663-4475,2019-06-28,6270000,대구광역시
비산4동행정복지센터,대구광역시,서구,27170,대구광역시 서구 국채보상로78길 29-4(비산동),,35.86975414,128.5743132,1층 민원실,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,비산4동행정복지센터,053-663-4280,2019-06-28,6270000,대구광역시
비원노인복지관,대구광역시,서구,27170,대구광역시 서구 서대구로 268(비산동),,35.88163671,128.5557152,1층 주출입구 좌측,9:00,18:00,9:00,13:00,0:00,0:00,2,Y,N,비원노인복지관,053-710-9985,2019-06-28,6270000,대구광역시
비산2.3동행정복지센터,대구광역시,서구,27170,대구광역시 서구 국채보상로 81길 43(비산동),,35.8758308,128.5747113,1층 민원실,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,비산2.3동행정복지센터,053-663-4260,2019-06-28,6270000,대구광역시
서구종합복지관,대구광역시,서구,27170,대구광역시 서구 달구벌대로365길 3(내당동),,35.86104199,128.5633217,2층 주민건강증진실 앞,9:00,18:00,9:00,18:00,0:00,0:00,2,Y,N,서구종합복지관,053-563-0777,2019-06-28,6270000,대구광역시
자갈치역,부산광역시,중구,26110,부산광역시 중구 구덕로 지하 80,부산광역시 중구 남포동6가 117-1,35.09737693,129.026592,자갈치역,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,교통공사 영업처,051-640-7266,2020-10-14,3250000,부산광역시 중구
보수동행정복지센터,부산광역시,중구,26110,부산광역시 중구 보수대로140번길 61,부산광역시 중구 보수동1가 48-2,35.10618247,129.0246957,보수동 주민센터,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,복지담당,051-600-6440,2020-10-14,3250000,부산광역시 중구
영화체험박물관,부산광역시,중구,26110,부산광역시 중구대청로126번길 12,부산광역시 중구 동광동3가 41-4,35.10169342,129.033594,부산영화박물관,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,관리사무실,051-715-4200,2020-10-14,3250000,부산광역시 중구
부산지방보훈청,부산광역시,중구,26110,부산광역시 중구 중앙대로148번길 13,부산광역시 중구 중앙동4가 74-11,35.11049399,129.039296,부산보훈청,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,총무과,051-660-6323,2020-10-14,3250000,부산광역시 중구
정동진역,강원도,강릉시,42150,강원도 강릉시 강동면 정동역길 17,강원도 강릉시 강동면 정동진리 303,37.69131728,129.0328303,정동진역,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
강릉고속버스터미널,강원도,강릉시,42150,강원도 강릉시 하슬라로 15,강원도 강릉시 홍제동 992-2,37.75464052,128.879796,강릉고속버스터미널,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
강릉시장애인종합복지관,강원도,강릉시,42150,강원도 강릉시 사천면 방동길 68,강원도 강릉시 사천면 방동리 산40-4,37.81979419,128.856319,강릉시장애인종합복지관,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
강릉시장애인자립생활센터,강원도,강릉시,42150,강원도 강릉시 임영로131번길 12,강원도 강릉시 용강동 60-1,37.75290976,128.8911252,강릉시장애인자립생활센터,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
강릉시종합경기장,강원도,강릉시,42150,강원도 강릉시 종합운동장길 69,강원도 강릉시 교동 408-3,37.77370501,128.8978333,강릉시종합경기장,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
강릉아트센터,강원도,강릉시,42150,강원도 강릉시 종합운동장길 84,강원도 강릉시 교동 408,37.77164458,128.8954532,강릉아트센터,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
주문진읍사무소,강원도,강릉시,42150,강원도 강릉시 주문진읍 항구로 19,강원도 강릉시 주문진읍 주문리 1033,37.89404115,128.8233812,주문진읍사무소,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
성산면사무소,강원도,강릉시,42150,강원도 강릉시 성산면 구산길 22,강원도 강릉시 성산면 구산리 186-3,37.71871998,128.8320963,성산면사무소,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
구정면사무소,강원도,강릉시,42150,강원도 강릉시 구정면 구정중앙로 231,강원도 강릉시 구정면 여찬리 400,37.71814644,128.8797305,구정면사무소,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
강동면사무소,강원도,강릉시,42150,강원도 강릉시 강동면 율곡로 2208,강원도 강릉시 강동면 상시동리 157-1,37.72804037,128.9539205,강동면사무소,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
옥계면사무소,강원도,강릉시,42150,강원도 강릉시 옥계면 현내시장길 30,강원도 강릉시 옥계면 현내리 310,37.61266661,129.0379444,옥계면사무소,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
사천면사무소,강원도,강릉시,42150,강원도 강릉시 사천면 미노길 67,강원도 강릉시 사천면 미노리 383,37.82379356,128.848643,사천면사무소,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
연곡면사무소,강원도,강릉시,42150,강원도 강릉시 연곡면 연주로 35-8,강원도 강릉시 연곡면 방내리 43-2,37.859872,128.8368014,연곡면사무소,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
홍제동주민센터,강원도,강릉시,42150,강원도 강릉시 경강로 1953,강원도 강릉시 홍제동 95-2,37.74834889,128.8836393,홍제동주민센터,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
중앙동주민센터,강원도,강릉시,42150,강원도 강릉시 토성로 163,강원도 강릉시 임당동 37,37.75613343,128.8941256,중앙동주민센터,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
교1동주민센터,강원도,강릉시,42150,강원도 강릉시 하슬라로 173,강원도 강릉시 교동 1874-3,37.76554285,128.8744617,교1동주민센터,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
교2동주민센터,강원도,강릉시,42150,강원도 강릉시 율곡로 2974,강원도 강릉시 교동 723-5,37.76797396,128.8923396,교2동주민센터,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
포남1동주민센터,강원도,강릉시,42150,강원도 강릉시 남구길30번길 42,강원도 강릉시 포남동 1158-1,37.76790634,128.908148,포남1동주민센터,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,강원도 강릉시,033-640-5346,2020-10-13,4200000,강원도 강릉시
남영역,서울특별시,용산구,11170,서울특별시 용산구 한강대로 77길 25,,37.54056577,126.9713321,1층 남영역 맞이방,6:00,23:30,6:00,23:30,6:00,23:30,2,N,Y,남영역,1544-7788,2020-10-15,3020000,서울특별시 용산구
효창공원앞역(경의중앙선),서울특별시,용산구,11170,서울특별시 용산구 백범로 지하 287,,37.53933395,126.9613166,지하 1층 효창공원역 맞이방,6:00,23:30,6:00,23:30,6:00,23:30,2,N,Y,효창공원역,02-2199-7100,2020-10-15,3020000,서울특별시 용산구
이촌역(경의중앙선),서울특별시,용산구,11170,서울특별시 용산구 서빙고 83,,37.5224803,126.9716268,지하 1층 이촌역 맞이방,6:00,23:30,6:00,23:30,6:00,23:30,2,N,Y,이촌역,1544-7788,2020-10-15,3020000,서울특별시 용산구
서빙고역,서울특별시,용산구,11170,서울특별시 용산구 서빙고로 238,,37.51995392,126.9900486,2층 서빙고역 맞이방 통로,6:00,23:30,6:00,23:30,6:00,23:30,2,N,Y,서빙고역,1544-7788,2020-10-15,3020000,서울특별시 용산구
한남역,서울특별시,용산구,11170,서울특별시 용산구 독서당로6길 12-13,,37.52918752,127.0082497,1층 한남역 맞이방,6:00,23:30,6:00,23:30,6:00,23:30,2,N,Y,한남역,1544-7788,2020-10-15,3020000,서울특별시 용산구
삼각지역,서울특별시,용산구,11170,서울특별시 용산구 한강대로 180,,37.5344034,126.9733574,지하1층 나 대합실 옆,6:00,23:30,6:00,23:30,6:00,23:30,2,N,Y,삼각지역,02-6110-4281,2020-10-15,3020000,서울특별시 용산구
숙대입구역,서울특별시,용산구,11170,서울특별시 용산구 한강대로 306,,37.54549626,126.9722388,지하1층 대합실 만남의장소,6:00,23:30,6:00,23:30,6:00,23:30,2,N,Y,숙대입구역,02-6110-4271,2020-10-15,3020000,서울특별시 용산구
한벗장애인주간보호시설,서울특별시,용산구,11170,서울특별시 용산구 효창원로69길 24-3,,37.5427916,126.9579499,시설 2층,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,Y,한벗장애인주간보호시설,02-713-5050,2020-10-15,3020000,서울특별시 용산구
용산행복장애인자립생활센터,서울특별시,용산구,11170,서울특별시 용산구 원효로89길 31,,37.54074494,126.9673582,센터 1층,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,Y,용산행복장애인자립생활센터,02-704-0420,2020-10-15,3020000,서울특별시 용산구
구포1동행정복지센터,부산광역시,북구,33200,부산광역시 북구 낙동대로1762번길 75,부산광역시 북구 구포동 430-1,35.20645937,129.0011333,입구 옆 왼쪽(현 문고),9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 북구,051-309-4324,2020-10-14,3320000,부산광역시 북구
금곡동행정복지센터,부산광역시,북구,33200,부산광역시 북구 금곡대로 466,부산광역시 북구 금곡동 1114-2,35.2500788,129.0128482,금곡동행정복지센터 2층 후문 옆 코너,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 북구,051-309-4324,2020-10-14,3320000,부산광역시 북구
만덕2동행정복지센터,부산광역시,북구,33200,부산광역시 북구 만덕2로44번길 10,부산광역시 북구 만덕동 289-1,35.2101851,129.0372031,만덕2동주민센터 입구 (게시판 앞),9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 북구,051-309-4324,2020-10-14,3320000,부산광역시 북구
구명역,부산광역시,북구,33200,부산광역시 북구 백양대로 지하1094,부산광역시 북구 구포동 969-1,35.2027471,128.9995029,구명역E/L 2호기-쓰레기 분리수거실 사이 유휴공간,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 북구,051-309-4324,2020-10-14,3320000,부산광역시 북구
화명역,부산광역시,북구,33200,부산광역시 북구 금곡대로 지하311,부산광역시 북구 화명동 1458-9,35.23580316,129.0138772,30번 게이트와 6번 출구 사이 공간,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 북구,051-309-4324,2020-10-14,3320000,부산광역시 북구
구포역(기차역),부산광역시,북구,33200,부산광역시 북구 구포만세길 82,부산광역시 북구 구포동 1060-470,35.20547237,128.997142,왼쪽 무인자판기옆 교통약자 대기실 안,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 북구,051-309-4324,2020-10-14,3320000,부산광역시 북구
부산북구장애인협회,부산광역시,북구,33200,부산광역시 북구 만덕대로65번길 79,부산광역시 북구 덕천동 457-60,35.21516531,129.0104778,사무실 입구 왼쪽,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,부산광역시 북구,051-309-4324,2020-10-14,3320000,부산광역시 북구
